1.0 0.18666064 0.18450353 0.18291458 0.31990856 0.32004226
3.3 0.18567294 0.18464876 0.18248815 0.31917319 0.31928057
7.1 0.18539276 0.18483555 0.18294529 0.31938008 0.31962466
15.2 0.18586876 0.18367360 0.18258904 0.31878197 0.31929378
24.7 0.18561617 0.18355719 0.18275767 0.31866435 0.31951189
30.6 0.18618305 0.18501978 0.18436615 0.32076054 0.32176327
37.2 0.18643458 0.18345068 0.18365274 0.31959402 0.32076333
43.4 0.18918188 0.18515624 0.18109102 0.32072820 0.32226053
48.8 0.18552244 0.18697111 0.18097792 0.31957750 0.32127991
54.7 0.18586343 0.18453023 0.18268759 0.31932957 0.32118832
62.3 0.18695314 0.18324641 0.18391177 0.31992853 0.32205340
68.0 0.18282502 0.18576580 0.18459879 0.31939103 0.32163840
73.9 0.18535850 0.18399893 0.18389195 0.31942076 0.32194098
78.0 0.18759973 0.18223776 0.18073199 0.31791243 0.32061888
85.6 0.18475196 0.18496586 0.18242298 0.31878488 0.32167948
90.7 0.18506399 0.18286782 0.18118847 0.31704665 0.32022002
96.8 0.18571861 0.18461800 0.18220935 0.31902266 0.32232963
103.5 0.18287219 0.18604911 0.18269110 0.31848477 0.32196635
109.8 0.18487281 0.18413554 0.18238363 0.31835144 0.32228144
115.2 0.18856255 0.18159756 0.18274436 0.31926323 0.32315736
122.2 0.18466137 0.18194543 0.17923612 0.31516590 0.31926895
128.5 0.18571650 0.18246163 0.18218166 0.31776252 0.32215314
135.0 0.18557975 0.18264807 0.18047324 0.31681343 0.32190361
137.4 0.18449460 0.18452891 0.18129184 0.31773559 0.32254334
143.9 0.18405432 0.18245266 0.18267365 0.31707196 0.32198358
151.1 0.18686165 0.18299331 0.17995058 0.31746817 0.32297993
152.8 0.18469443 0.17868242 0.18179777 0.31478543 0.32078015
162.1 0.18600780 0.18207270 0.17982962 0.31636698 0.32227717
169.3 0.18454703 0.18171320 0.17711542 0.31376291 0.31988074
175.5 0.18079435 0.18015354 0.18092638 0.31285180 0.31935227
181.7 0.18397968 0.17948324 0.18208375 0.31498770 0.32149539
188.1 0.18045106 0.18349498 0.17802844 0.31293309 0.31960013
195.6 0.18555421 0.17915123 0.17874655 0.31380863 0.32064385
197.5 0.18375318 0.18119482 0.17704130 0.31295433 0.31983239
208.7 0.18400775 0.18139864 0.18140536 0.31570908 0.32297474
213.7 0.18692708 0.18095600 0.18047339 0.31663457 0.32394795
218.4 0.18433705 0.18250801 0.17647916 0.31374228 0.32154557
222.6 0.17987654 0.18288661 0.18365900 0.31548964 0.32352335
231.0 0.18712826 0.17834592 0.18096269 0.31554992 0.32403340
233.4 0.17940279 0.17916127 0.17535229 0.30827349 0.31638204
239.2 0.18344094 0.17856437 0.18009549 0.31300191 0.32191394
243.3 0.17870707 0.17880718 0.17600919 0.30803808 0.31632009
254.3 0.18437655 0.18007009 0.17905844 0.31381822 0.32281024
259.3 0.18136258 0.18079383 0.17411451 0.30966862 0.31898840
263.4 0.17673518 0.17974480 0.17905202 0.30919758 0.31925826
271.5 0.17779174 0.17986713 0.17655300 0.30843646 0.31863879
284.7 0.17962220 0.17599572 0.17860199 0.30844335 0.31880849
277.7 0.17580627 0.18216486 0.17735828 0.30910813 0.31969043
292.8 0.17754521 0.17360268 0.17963127 0.30647608 0.31729164
294.1 0.17929581 0.17971231 0.17816677 0.31014013 0.32103861
305.2 0.17568935 0.17559810 0.18645327 0.31059019 0.32258991
304.2 0.17531905 0.17924319 0.17822081 0.30761591 0.31917324
315.6 0.18318505 0.17704619 0.17345730 0.30820375 0.31972542
309.0 0.17872507 0.18377317 0.17563738 0.31074703 0.32293417
323.8 0.17712516 0.17779327 0.17884914 0.30817330 0.32098306
333.8 0.17486310 0.17809272 0.17914187 0.30722294 0.31982910
338.0 0.17727500 0.17663306 0.17310808 0.30428945 0.31731877
343.1 0.18175286 0.17863129 0.17662346 0.31006304 0.32233654
350.6 0.17933887 0.18176389 0.17050777 0.30703981 0.32045454
353.0 0.18404264 0.17276913 0.17902803 0.30947036 0.32335122
348.4 0.17826519 0.17450111 0.17040418 0.30210379 0.31543080
368.9 0.18078951 0.17718008 0.17216073 0.30613224 0.32046717
375.1 0.18118462 0.17966507 0.17641832 0.31021094 0.32486568
372.8 0.18167145 0.18055597 0.17023467 0.30754645 0.32130571
392.1 0.17268415 0.18004959 0.17255060 0.30333378 0.31792159
388.9 0.18756403 0.17737923 0.17238931 0.31042186 0.32473447
397.5 0.17307685 0.17792697 0.17269374 0.30238507 0.31832284
388.1 0.18209227 0.17667897 0.17124606 0.30610173 0.32124017
412.7 0.17806619 0.17420848 0.17222848 0.30285113 0.31985832
410.6 0.18182054 0.17483666 0.16776418 0.30293793 0.31958516
424.9 0.18189940 0.17169411 0.16816788 0.30140786 0.31872910
423.2 0.17414162 0.17918434 0.16806243 0.30112674 0.31875717
435.5 0.17532983 0.18680764 0.17280534 0.30902966 0.32691628
442.4 0.17705700 0.17443735 0.17115816 0.30178251 0.31869918
446.4 0.17371595 0.18350455 0.17009347 0.30460292 0.32239408
452.4 0.17717907 0.17128249 0.16732506 0.29787210 0.31700536
455.4 0.17503701 0.17012819 0.17047255 0.29772882 0.31658126
464.9 0.17230671 0.17433341 0.17367253 0.30040620 0.32070851
466.3 0.17724110 0.17702724 0.17103736 0.30332627 0.32185680
469.3 0.17386413 0.16841789 0.16785389 0.29456451 0.31528038
477.8 0.17963449 0.18097289 0.16880090 0.30579974 0.32493319
490.3 0.17467269 0.17761592 0.16303717 0.29772317 0.31711689
483.1 0.17079711 0.17569172 0.15776105 0.29142372 0.31372082
493.4 0.17522354 0.17515776 0.17181627 0.30150350 0.32226577
492.3 0.17564926 0.17675774 0.16810797 0.30059317 0.32264893
506.5 0.17301406 0.17511200 0.17622583 0.30274349 0.32418994
514.6 0.16879205 0.17535568 0.16733686 0.29536756 0.31696628
527.0 0.16367240 0.16536014 0.17028399 0.28832147 0.31055735
524.4 0.16915828 0.17628228 0.16884599 0.29698305 0.31939003
537.3 0.16361580 0.16986673 0.17670646 0.29470326 0.31838189
540.6 0.16648157 0.17580860 0.16744308 0.29438404 0.31788665
550.1 0.16705726 0.17603945 0.17270629 0.29786823 0.32289713
555.9 0.17535631 0.16654484 0.17090293 0.29613313 0.31991024
556.3 0.16848168 0.16913211 0.17048234 0.29335299 0.31841786
564.4 0.17084305 0.17726525 0.15870603 0.29291282 0.31736135
568.4 0.17395278 0.16959446 0.15776330 0.28967415 0.31484420
576.5 0.16731802 0.16879614 0.16650667 0.29019291 0.31694748
584.3 0.17598196 0.17662557 0.15453027 0.29333573 0.31894751
596.9 0.17211793 0.16448032 0.16301922 0.28853704 0.31542939
594.0 0.16493803 0.16743483 0.15863610 0.28355668 0.31097415
592.0 0.17091491 0.17292690 0.16409888 0.29333269 0.31973676
611.3 0.16773432 0.16671186 0.17116274 0.29193206 0.31813350
610.9 0.17230208 0.17138467 0.16502940 0.29376081 0.31976460
611.2 0.17213527 0.16959901 0.16042615 0.29005331 0.31794390
614.1 0.17189848 0.15899153 0.16379091 0.28575314 0.31401199
624.6 0.17646526 0.15642433 0.16634124 0.28857922 0.31722335
637.3 0.17493216 0.15019331 0.17233584 0.28785227 0.31842487
643.7 0.17298691 0.15492166 0.17022416 0.28792613 0.31645545
640.2 0.17675616 0.15695984 0.16275052 0.28699627 0.31599497
660.7 0.16501312 0.16533411 0.16955842 0.28864296 0.31942262
661.5 0.15996266 0.17515311 0.16301408 0.28781983 0.31914002
648.3 0.16822419 0.16904638 0.16321104 0.28898772 0.31737724
690.6 0.16583918 0.16167599 0.15598272 0.27923533 0.30896889
684.1 0.15883962 0.16654881 0.15705922 0.27863261 0.30853755
686.4 0.16743499 0.16314136 0.16157399 0.28417553 0.31619956
