# dft_x model_x dft_y model_y dft_z model_z diff_x diff_y diff_z
0.733226 0.753720 0.177740 0.194990 -0.281166 -0.261481 0.020494 0.017249 0.019685
0.078488 0.118358 0.003226 0.028999 -0.545782 -0.552696 0.039870 0.025773 0.006913
0.076704 0.071492 -0.048680 -0.060351 -0.045381 -0.050053 0.005212 0.011671 0.004671
-0.179788 -0.144007 -0.091105 -0.122807 -0.332745 -0.366329 0.035781 0.031702 0.033583
-0.016361 -0.004008 -0.015155 -0.022366 -0.176945 -0.175581 0.012353 0.007211 0.001364
-0.006382 -0.027921 -0.024687 -0.055017 0.380990 0.367810 0.021539 0.030330 0.013180
0.067412 0.059317 -0.001380 -0.026889 -0.182251 -0.152092 0.008095 0.025509 0.030159
0.032109 0.015421 0.079168 0.035231 0.214818 0.221841 0.016688 0.043937 0.007023
0.137246 0.159210 0.104489 0.157073 -0.205503 -0.177170 0.021964 0.052584 0.028332
-0.014662 0.011809 0.091949 0.032574 0.290182 0.341120 0.026471 0.059375 0.050938
0.201207 0.191878 0.147049 0.089348 -0.048554 -0.127294 0.009329 0.057701 0.078740
-0.065933 -0.078538 0.155270 0.144626 0.555661 0.524321 0.012605 0.010644 0.031340
0.005737 0.040579 0.192414 0.163835 -0.166169 -0.181804 0.034842 0.028579 0.015635
0.274610 0.300216 0.323852 0.314288 0.046089 0.087362 0.025605 0.009564 0.041273
0.189886 0.161185 -0.096976 -0.130246 0.063670 0.073787 0.028701 0.033269 0.010117
0.200660 0.186762 0.064354 0.059084 0.068460 0.088863 0.013898 0.005270 0.020404
-0.300012 -0.318336 -0.053238 -0.041727 -0.243036 -0.263647 0.018324 0.011512 0.020611
0.223738 0.212227 0.065690 0.052030 -0.127252 -0.123305 0.011512 0.013660 0.003947
-0.037952 -0.034564 0.056359 0.067477 0.013564 0.019923 0.003388 0.011119 0.006359
0.013481 0.021865 0.119575 0.117694 0.158930 0.153813 0.008384 0.001880 0.005117
-0.454630 -0.420746 -0.031152 -0.020205 -0.282966 -0.266756 0.033884 0.010947 0.016210
0.018229 0.049249 0.054098 0.068600 -0.244484 -0.252819 0.031020 0.014502 0.008334
0.060407 0.047597 -0.002306 0.001818 0.030860 0.051089 0.012811 0.004124 0.020229
0.159841 0.134018 0.094058 0.045734 -0.032176 -0.054441 0.025823 0.048324 0.022264
-0.054834 -0.073359 -0.077759 -0.043215 -0.014555 0.032377 0.018525 0.034544 0.046931
0.032223 0.028713 0.268022 0.261266 0.372850 0.380876 0.003510 0.006756 0.008026
0.219237 0.262439 0.254458 0.194272 0.290886 0.280307 0.043203 0.060186 0.010579
0.505380 0.437983 -0.169186 -0.190335 0.180886 0.240097 0.067397 0.021149 0.059211
