ITEM: TIMESTEP
0
ITEM: NUMBER OF ATOMS
64000
ITEM: BOX BOUNDS pp pp pp
0.0000000000000000e+00 1.5635308912750000e+02
0.0000000000000000e+00 1.5662466809540001e+02
0.0000000000000000e+00 3.1292548713799999e+01
ITEM: ATOMS id type x y z c_outbec[1] c_outbec[2] c_outbec[3] c_outbec[4] c_outbec[5] c_outbec[6] c_outbec[7] c_outbec[8] c_outbec[9]
1 1 2.15982 2.01518 1.96698 3.08171 0.313476 0.243808 0.0279922 2.94873 -0.331293 -0.193033 0.0674715 2.96237
6401 2 0.0162294 4.14844 4.06033 4.97316 -0.168978 0.105191 -0.0705001 4.80102 0.177076 -0.107501 -0.0789095 5.31368
6402 2 3.9055 4.05856 0.22539 4.7608 -0.260154 0.302584 -0.051345 5.03589 0.40273 -0.218688 -0.147391 5.39986
6421 2 0.402994 0.264031 3.68067 4.93955 -0.022014 0.264166 -0.304401 4.94885 0.10055 0.0299898 0.314168 4.97972
6422 2 4.3279 0.263294 3.68766 4.95369 -0.371885 0.00333024 -0.0511685 4.86844 0.289713 0.343888 -0.0102611 5.04791
6426 2 3.90435 4.14452 4.01293 5.30025 0.0805438 -0.0733451 -0.137761 4.70985 0.106486 0.254461 0.163222 5.02495
6595 2 0.0190194 4.10003 0.258525 5.33427 0.0171736 -0.104718 -0.271304 4.83857 0.0963346 0.351276 0.217899 4.85999
25601 4 1.82548 2.18119 0.0841258 -2.75272 -0.307785 -0.00497947 -0.407847 -3.21001 -0.189669 -0.132748 -0.330806 -2.5263
25602 4 0.181261 2.08085 2.24547 -2.47813 0.335867 -0.130731 0.161338 -3.14465 0.464512 -0.0249076 0.376448 -2.76525
25603 4 4.09223 1.75622 1.77369 -2.41976 0.339045 -0.0114935 0.173479 -2.62807 0.220529 -0.00341797 0.299932 -3.26727
25610 4 2.42666 3.91432 2.11666 -2.40832 -0.0811826 -0.103445 -0.229666 -2.38971 -0.157681 -0.0302148 -0.039026 -3.31373
25640 4 1.90649 0.0119388 1.85269 -2.38576 0.120808 -0.0437015 0.289646 -2.46843 0.0615495 0.0718678 0.03196 -3.19746
25663 4 2.29491 1.70323 3.8649 -3.22277 -0.311614 -0.018939 -0.16606 -2.33921 -0.0887965 -0.0466802 -0.239503 -2.39403
2 1 6.07415 1.99929 1.93453 2.95022 0.0667515 -0.301038 0.0786832 2.94164 0.199672 0.282155 -0.47093 3.1316
6403 2 7.83606 4.07812 0.194918 5.33464 0.017364 -0.105057 -0.269693 4.83729 0.0954502 0.349853 0.221862 4.85892
6423 2 8.21729 0.240799 3.61926 4.94127 -0.0238735 0.258986 -0.299965 4.94517 0.0993885 0.0339388 0.317984 4.98221
6427 2 7.83542 4.12733 3.99588 4.97848 -0.158345 0.0925405 -0.0834284 4.79836 0.173779 -0.0972602 -0.0784141 5.31614
25604 4 6.24899 1.65662 0.0483598 -3.40449 -0.282976 -0.0166381 -0.136256 -2.39673 -0.120571 -0.0137288 -0.270962 -2.48476
25606 4 7.99794 2.0574 2.18463 -2.47737 0.332839 -0.130902 0.159549 -3.14326 0.462511 -0.02585 0.373933 -2.76133
25612 4 5.94311 3.89816 1.61998 -3.41976 -0.0144753 0.070059 0.0587359 -2.40476 0.221443 -0.0348133 0.0670782 -2.25525
25665 4 5.79021 2.08327 3.83902 -2.61109 -0.347458 -0.0193254 -0.492145 -2.94519 -0.103407 -0.102058 -0.250004 -2.45208
26133 4 9.64116 2.15749 0.0230198 -2.75251 -0.306078 -0.00609041 -0.405356 -3.2121 -0.189067 -0.133421 -0.329907 -2.52623
3 1 9.97489 1.99208 1.90655 3.07868 0.320205 0.242419 0.0203022 2.94964 -0.332371 -0.191045 0.0692813 2.96456
4 1 13.8847 1.97491 1.87559 2.94909 0.0643194 -0.298548 0.0760471 2.94178 0.198303 0.279888 -0.473284 3.13192
6404 2 11.7211 4.03607 0.164731 4.76221 -0.260365 0.304992 -0.0519716 5.03395 0.403259 -0.21805 -0.146911 5.40324
6424 2 12.1394 0.238579 3.6293 4.95946 -0.380442 -0.00305677 -0.0497695 4.8662 0.291085 0.34505 -0.0160199 5.04682
6428 2 11.7196 4.12218 3.95164 5.30459 0.0776167 -0.0679098 -0.13299 4.70917 0.112688 0.24754 0.160648 5.02545
25607 4 11.9058 1.73298 1.71408 -2.41959 0.336492 -0.0111561 0.172022 -2.62624 0.218754 -0.00350171 0.29835 -3.26364
