ITEM: TIMESTEP
0
ITEM: NUMBER OF ATOMS
64000
ITEM: BOX BOUNDS pp pp pp
0.0000000000000000e+00 1.5411797040000002e+02
0.0000000000000000e+00 1.5411797040000002e+02
0.0000000000000000e+00 3.0560573040000001e+01
ITEM: ATOMS id type x y z c_outbec[1] c_outbec[2] c_outbec[3] c_outbec[4] c_outbec[5] c_outbec[6] c_outbec[7] c_outbec[8] c_outbec[9]
27041 4 13.4853 0 1.8936 -3.03055 0.0486056 -0.014921 0.093032 -2.4185 0.0889771 -0.00915687 0.0516535 -3.0058
27042 4 13.4853 1.92647 2e-16 -3.01764 -0.0132593 0.0534149 -0.013259 -3.01764 0.0534141 0.0947155 0.0947133 -2.53444
27043 4 11.5588 1.92647 1.8936 -2.4185 0.0930323 0.0889774 0.0486059 -3.03055 -0.0149219 0.0516537 -0.00915637 -3.0058
27045 4 13.4853 1.92647 3.78719 -2.91324 -0.0160478 0.0462188 -0.0160468 -2.91325 0.046219 0.0890889 0.0890894 -2.41088
27053 4 13.4853 3.85295 1.8936 -3.03054 0.0486059 -0.0149212 0.0930319 -2.4185 0.088977 -0.00915713 0.0516534 -3.0058
641 1 17.3383 1.92647 1.8936 2.94128 -0.00892365 0.00206814 -0.00892587 2.94128 0.00205875 -0.0221032 -0.022113 2.97955
7041 2 15.6122 0.200353 0.196934 5.48949 -0.120132 -0.116982 -0.12013 5.48951 -0.116978 -0.131387 -0.131392 5.43551
7042 2 15.6122 0.200353 3.98413 5.50101 -0.120489 -0.118484 -0.120487 5.50104 -0.118486 -0.128184 -0.128188 5.50964
7045 2 15.6122 4.0533 0.196934 5.4895 -0.12013 -0.116981 -0.12013 5.48951 -0.116981 -0.131389 -0.131396 5.43549
7046 2 15.6122 4.0533 3.98413 5.50103 -0.120489 -0.11848 -0.120488 5.50104 -0.118489 -0.128184 -0.128193 5.50963
27521 4 17.3383 0 1.8936 -3.03054 0.0486052 -0.0149209 0.0930322 -2.41851 0.0889771 -0.0091552 0.0516541 -3.00581
27522 4 17.3383 1.92647 2e-16 -3.01764 -0.0132585 0.0534128 -0.0132591 -3.01764 0.0534136 0.0947112 0.0947131 -2.53443
27523 4 15.4118 1.92647 1.8936 -2.4185 0.0930325 0.0889784 0.0486063 -3.03055 -0.0149219 0.0516537 -0.00915676 -3.00581
27525 4 17.3383 1.92647 3.78719 -2.91325 -0.0160478 0.0462182 -0.0160491 -2.91325 0.0462183 0.0890889 0.0890895 -2.41088
27533 4 17.3383 3.85295 1.8936 -3.03054 0.0486053 -0.0149208 0.0930322 -2.41851 0.0889774 -0.00915494 0.0516541 -3.00581
5 1 1.92647 5.77942 1.8936 2.94128 -0.00892484 0.00205781 -0.008925 2.94128 0.00205778 -0.0221085 -0.0221086 2.97954
9 1 1.92647 9.63237 1.8936 2.94128 -0.00892459 0.00205791 -0.00892536 2.94128 0.00205768 -0.0221086 -0.0221085 2.97954
