chgnet dft diff
0.030607 0.032102 0.001495
0.035116 0.038793 0.003678
0.036194 0.039863 0.003669
0.036522 0.041604 0.005082
0.036669 0.040521 0.003852
0.041914 0.045059 0.003145
0.036899 0.041343 0.004445
0.035574 0.041270 0.005695
0.037381 0.042330 0.004949
0.032784 0.034934 0.002150
0.032273 0.034705 0.002432
0.034743 0.039339 0.004596
0.032426 0.039426 0.007000
0.037526 0.042202 0.004676
0.033805 0.039960 0.006154
0.028408 0.032193 0.003785
0.029793 0.034266 0.004473
0.027299 0.030107 0.002807
0.028174 0.031676 0.003502
0.030962 0.035012 0.004050
0.033421 0.037820 0.004399
0.038023 0.039103 0.001079
0.038950 0.042333 0.003383
0.038294 0.043148 0.004854
0.034638 0.039070 0.004432
0.037748 0.042527 0.004779
0.038390 0.042817 0.004428
0.040213 0.048148 0.007935
0.044560 0.054496 0.009936
0.041721 0.050826 0.009105
0.042348 0.048789 0.006441
0.047047 0.056265 0.009218
0.041430 0.047465 0.006035
0.038738 0.041187 0.002449
0.039858 0.042583 0.002726
0.042345 0.047832 0.005488
0.034946 0.041849 0.006902
0.037829 0.046169 0.008340
0.037454 0.043226 0.005772
0.035280 0.042864 0.007584
0.038722 0.047074 0.008352
0.048127 0.056501 0.008375
0.043015 0.050724 0.007709
0.038513 0.043514 0.005001
0.043798 0.050695 0.006896
0.035596 0.042041 0.006444
0.041991 0.050926 0.008935
0.038672 0.049672 0.011000
0.048351 0.058788 0.010437
0.041786 0.046228 0.004441
0.048757 0.053358 0.004601
0.035530 0.045984 0.010454
0.035787 0.047630 0.011843
0.033020 0.043161 0.010141
0.043544 0.050450 0.006907
0.050457 0.056587 0.006131
0.056475 0.064308 0.007833
0.046550 0.050799 0.004248
0.043455 0.048666 0.005211
0.044625 0.050197 0.005572
0.040697 0.047755 0.007058
0.045678 0.053972 0.008294
0.043308 0.049170 0.005861
0.055365 0.064380 0.009015
0.044301 0.051596 0.007295
0.051856 0.060606 0.008750
0.048031 0.055098 0.007066
0.046858 0.052570 0.005712
0.048608 0.055295 0.006687
0.045198 0.048903 0.003705
0.048976 0.051918 0.002942
0.041973 0.052313 0.010340
0.044035 0.053742 0.009707
0.044827 0.053665 0.008839
0.048506 0.052404 0.003899
0.057516 0.064310 0.006794
0.055003 0.064861 0.009859
0.060313 0.065837 0.005524
0.048182 0.061031 0.012849
0.054740 0.063156 0.008415
0.048025 0.055752 0.007727
0.048394 0.054961 0.006567
0.049613 0.056477 0.006864
0.048415 0.055175 0.006760
0.051978 0.059157 0.007179
0.051435 0.058078 0.006642
0.050524 0.061050 0.010526
0.046901 0.053766 0.006865
0.045907 0.052039 0.006132
0.057745 0.067554 0.009809
0.061355 0.065593 0.004237
0.055874 0.069023 0.013148
0.047157 0.058889 0.011731
0.059916 0.067243 0.007327
0.060802 0.067958 0.007156
0.054828 0.068181 0.013353
0.060091 0.076589 0.016498
0.062163 0.077435 0.015272
0.054399 0.066439 0.012041
0.050072 0.057223 0.007151
0.058361 0.070555 0.012195
0.071420 0.086556 0.015135
0.072321 0.088478 0.016157
0.070503 0.087515 0.017012
0.073855 0.089588 0.015733
0.069507 0.077216 0.007708
0.065942 0.076901 0.010959
0.060160 0.070023 0.009863
0.063751 0.071356 0.007605
0.068133 0.081247 0.013113
0.072939 0.090009 0.017070
0.070664 0.088585 0.017921
0.069952 0.084274 0.014322
0.064172 0.077760 0.013588
0.065912 0.080925 0.015013
0.075562 0.091691 0.016129
0.087296 0.100435 0.013140
0.070103 0.081068 0.010965
0.072759 0.086865 0.014106
0.067410 0.079071 0.011661
0.065683 0.079734 0.014051
0.070478 0.084124 0.013647
0.070142 0.085236 0.015095
0.072594 0.083604 0.011011
0.065527 0.079271 0.013744
0.070947 0.089794 0.018847
0.073587 0.093627 0.020039
0.061623 0.077050 0.015427
0.055192 0.066743 0.011552
0.067690 0.083133 0.015443
0.075398 0.094187 0.018789
0.077868 0.091530 0.013662
0.061408 0.075743 0.014335
0.075130 0.091114 0.015984
0.063891 0.071330 0.007438
0.066116 0.074238 0.008122
0.071446 0.080949 0.009503
0.061962 0.074657 0.012694
0.061466 0.072020 0.010554
0.072729 0.094472 0.021743
0.060643 0.080718 0.020074
0.071957 0.092311 0.020354
0.076293 0.099349 0.023056
0.074569 0.094427 0.019858
0.079609 0.096400 0.016791
0.079838 0.095054 0.015216
0.077646 0.094736 0.017090
0.076640 0.094532 0.017892
0.055332 0.064437 0.009105
0.076197 0.087094 0.010897
0.083020 0.094891 0.011870
0.075208 0.086044 0.010836
0.062712 0.072681 0.009969
0.083380 0.099868 0.016488
0.087494 0.097237 0.009743
0.074267 0.081569 0.007301
0.064591 0.080356 0.015765
0.070628 0.088262 0.017634
0.069223 0.087737 0.018514
0.060498 0.075253 0.014755
0.061270 0.074771 0.013501
0.076551 0.089509 0.012958
0.080110 0.092224 0.012115
0.082108 0.109131 0.027023
0.087389 0.104729 0.017341
0.085653 0.106613 0.020961
0.077727 0.094041 0.016314
0.079821 0.101212 0.021391
0.071824 0.092293 0.020470
0.083635 0.100875 0.017240
0.074277 0.095270 0.020993
0.078501 0.100754 0.022253
0.064562 0.079428 0.014866
0.078471 0.095184 0.016712
0.078189 0.098684 0.020495
0.084218 0.112221 0.028003
0.082407 0.108668 0.026261
0.086290 0.115708 0.029418
0.083626 0.112261 0.028636
0.082641 0.106976 0.024335
0.076391 0.098597 0.022206
0.070801 0.087738 0.016937
0.071197 0.090747 0.019550
0.099091 0.123285 0.024194
0.064130 0.083518 0.019388
0.095171 0.119460 0.024289
0.089405 0.116050 0.026645
0.103745 0.130462 0.026717
0.090251 0.115793 0.025542
0.081954 0.104078 0.022124
0.084100 0.110152 0.026052
0.096567 0.118539 0.021972
0.093258 0.118141 0.024882
0.090963 0.117734 0.026771
0.081366 0.106035 0.024668
0.081816 0.105698 0.023882
0.078529 0.098829 0.020300
0.107108 0.132352 0.025243
0.089997 0.115750 0.025752
0.095557 0.116526 0.020969
0.087758 0.103097 0.015340
0.087614 0.105533 0.017920
0.083162 0.103081 0.019919
0.088255 0.108718 0.020463
0.092770 0.116318 0.023549
0.082844 0.103206 0.020362
0.083262 0.102268 0.019007
0.074972 0.093336 0.018364
0.088660 0.106292 0.017632
0.082239 0.100229 0.017991
0.097440 0.116316 0.018876
0.078109 0.092297 0.014188
0.076157 0.093055 0.016897
0.080890 0.100190 0.019300
0.075056 0.093186 0.018129
0.098245 0.117582 0.019337
0.099158 0.118175 0.019017
0.103508 0.122212 0.018704
0.096233 0.115613 0.019380
0.083990 0.104310 0.020321
0.093979 0.113881 0.019902
0.090013 0.110778 0.020765
0.110500 0.132861 0.022361
0.093149 0.118151 0.025002
0.105405 0.134048 0.028643
0.103088 0.132324 0.029236
0.094033 0.119502 0.025469
0.110653 0.132854 0.022201
0.110435 0.133820 0.023385
0.111774 0.133652 0.021878
0.119819 0.143980 0.024161
0.113823 0.136581 0.022758
0.118571 0.143261 0.024690
0.131127 0.156780 0.025653
0.121328 0.144854 0.023526
0.130346 0.158479 0.028132
0.133247 0.165012 0.031765
0.123770 0.147493 0.023723
0.113254 0.134325 0.021072
0.108517 0.132330 0.023813
0.102234 0.123620 0.021385
0.097723 0.117524 0.019802
0.108971 0.128098 0.019127
0.094438 0.113427 0.018990
0.107557 0.130402 0.022846
0.095806 0.116059 0.020253
0.096297 0.115644 0.019347
0.103858 0.121700 0.017842
0.109932 0.139022 0.029089
0.137846 0.169146 0.031301
0.136061 0.168309 0.032248
0.106564 0.133004 0.026440
0.116736 0.139328 0.022592
0.101769 0.129442 0.027673
0.105569 0.130371 0.024802
0.115450 0.140804 0.025354
0.124906 0.150031 0.025125
0.133472 0.163788 0.030316
0.094923 0.112990 0.018067
0.111109 0.135837 0.024728
0.103390 0.123893 0.020503
0.113039 0.134221 0.021182
0.097556 0.119112 0.021556
0.089537 0.113938 0.024401
0.093531 0.122249 0.028718
0.096598 0.124478 0.027880
0.098131 0.121822 0.023691
0.111307 0.137747 0.026441
0.123076 0.147642 0.024567
0.110671 0.131077 0.020406
0.118562 0.142167 0.023604
0.121986 0.151760 0.029774
0.115936 0.142756 0.026820
0.101024 0.122316 0.021292
0.117351 0.140689 0.023338
0.115411 0.147475 0.032064
0.103817 0.132201 0.028384
0.109271 0.133192 0.023921
0.105927 0.136384 0.030458
0.097100 0.125533 0.028433
0.111651 0.136540 0.024889
0.113922 0.143398 0.029476
0.105329 0.130163 0.024834
0.116633 0.144586 0.027952
0.103186 0.122115 0.018929
0.101950 0.120442 0.018492
0.117669 0.140278 0.022609
0.102317 0.128503 0.026186
0.121266 0.147501 0.026235
0.123551 0.146551 0.023000
0.129212 0.152314 0.023102
0.137092 0.163149 0.026057
0.108008 0.135491 0.027483
0.097245 0.120036 0.022791
0.106337 0.125105 0.018769
0.104267 0.130667 0.026401
0.101413 0.127845 0.026432
0.116882 0.146819 0.029937
0.112607 0.135131 0.022525
0.108182 0.130279 0.022096
0.115843 0.141896 0.026053
0.109139 0.137020 0.027881
0.113225 0.140642 0.027417
0.117683 0.150566 0.032883
0.098493 0.124864 0.026371
0.122063 0.142968 0.020905
0.118243 0.144229 0.025985
0.114432 0.139625 0.025193
0.101367 0.123045 0.021678
0.119513 0.142797 0.023284
0.115830 0.138439 0.022609
0.110792 0.135726 0.024934
0.108566 0.136158 0.027593
0.129015 0.150388 0.021373
0.130093 0.153210 0.023117
0.149595 0.174015 0.024420
0.139334 0.162101 0.022767
0.162122 0.182556 0.020435
0.137001 0.154085 0.017085
0.158330 0.177251 0.018921
0.154431 0.173906 0.019475
0.152182 0.175013 0.022831
0.159656 0.183561 0.023905
0.145188 0.170296 0.025107
0.146227 0.172629 0.026402
0.147943 0.179000 0.031058
0.155458 0.185533 0.030075
0.159677 0.189882 0.030205
0.150559 0.173494 0.022935
0.169905 0.193657 0.023752
0.154172 0.179139 0.024967
0.151754 0.177355 0.025600
0.152741 0.175184 0.022443
0.117296 0.139087 0.021791
0.118237 0.143629 0.025391
0.109382 0.126548 0.017166
0.125010 0.159937 0.034927
0.118125 0.146763 0.028637
0.127344 0.148706 0.021362
0.141093 0.167253 0.026161
0.134410 0.160286 0.025876
0.121912 0.146814 0.024901
0.123143 0.146933 0.023791
0.130042 0.158864 0.028823
0.122264 0.150650 0.028386
0.140573 0.170632 0.030060
0.136024 0.168034 0.032010
0.134119 0.163504 0.029385
0.155785 0.183951 0.028166
0.136807 0.164091 0.027283
0.160649 0.193562 0.032913
0.160194 0.190738 0.030543
0.134710 0.162559 0.027849
0.141432 0.169604 0.028172
0.141359 0.170246 0.028887
0.142132 0.170409 0.028276
0.141662 0.174422 0.032759
0.120302 0.146625 0.026323
0.134011 0.165640 0.031630
0.170724 0.205906 0.035182
0.132454 0.158948 0.026494
0.147026 0.176955 0.029929
0.138002 0.161210 0.023207
0.145047 0.167547 0.022500
0.132793 0.164183 0.031390
0.157864 0.194222 0.036358
0.154577 0.193432 0.038855
0.172751 0.207218 0.034467
0.184328 0.218569 0.034241
0.175330 0.207716 0.032386
0.171213 0.204996 0.033782
0.179963 0.218859 0.038896
0.196728 0.237370 0.040642
0.200724 0.241850 0.041126
0.181396 0.224019 0.042623
0.182591 0.225194 0.042602
0.196712 0.240070 0.043358
0.203387 0.244685 0.041298
0.156925 0.190241 0.033316
0.175058 0.208435 0.033377
0.168994 0.206388 0.037394
