Structure 1: -508.55224756918 -508.42901611328125 -6.35690309461475 -6.3553627014160154 80 0.12323145589874684
Structure 2: -509.191491043199 -509.0521240234375 -6.364893638039987 -6.363151550292969 80 0.1393670197614938
Structure 3: -509.736175644139 -509.5846252441406 -6.3717021955517374 -6.3698078155517575 80 0.15155039999837072
Structure 4: -509.703197278111 -509.55450439453125 -6.371289965976388 -6.3694313049316404 80 0.14869288357976984
Structure 5: -510.1573616926 -510.0157165527344 -6.376967021157499 -6.37519645690918 80 0.14164513986560223
Structure 6: -510.236553015409 -510.0836181640625 -6.377956912692612 -6.376045227050781 80 0.1529348513465152
Structure 7: -510.454939468123 -510.31524658203125 -6.3806867433515375 -6.378940582275391 80 0.1396928860917228
Structure 8: -510.785290682092 -510.6373291015625 -6.38481613352615 -6.382966613769531 80 0.14796158052951114
Structure 9: -511.19072277892 -511.017333984375 -6.3898840347365 -6.387716674804688 80 0.1733887945450192
Structure 10: -511.293169099412 -511.1156921386719 -6.39116461374265 -6.388946151733398 80 0.17747696074013675
Structure 11: -511.366752526803 -511.2099914550781 -6.392084406585037 -6.390124893188476 80 0.15676107172487264
Structure 12: -511.378077560788 -511.2203674316406 -6.39222596950985 -6.3902545928955075 80 0.15771012914734683
Structure 13: -511.116013496328 -510.94891357421875 -6.3889501687041 -6.386861419677734 80 0.1670999221092302
Structure 14: -510.939355056136 -510.7829284667969 -6.3867419382017 -6.384786605834961 80 0.15642658933910525
Structure 15: -510.957280154791 -510.8020935058594 -6.386966001934888 -6.385026168823242 80 0.1551866489316467
Structure 16: -510.95584641899 -510.7920837402344 -6.386948080237375 -6.38490104675293 80 0.16376267875563144
Structure 17: -510.977251496428 -510.8133239746094 -6.38721564370535 -6.3851665496826175 80 0.16392752181860715
Structure 18: -510.885464674742 -510.72967529296875 -6.386068308434275 -6.384120941162109 80 0.15578938177327473
Structure 19: -510.909386200816 -510.75445556640625 -6.3863673275102 -6.384430694580078 80 0.15493063440976584
Structure 20: -510.766273218043 -510.6131591796875 -6.384578415225538 -6.382664489746094 80 0.15311403835551118
Structure 21: -510.871558030769 -510.7295227050781 -6.385894475384612 -6.384119033813477 80 0.14203532569086974
Structure 22: -510.799633820283 -510.6614074707031 -6.384995422753538 -6.383267593383789 80 0.1382263495798952
Structure 23: -510.659319092421 -510.5152893066406 -6.383241488655263 -6.381441116333008 80 0.14402978578038983
Structure 24: -510.834386734663 -510.6963806152344 -6.385429834183287 -6.383704757690429 80 0.13800611942860996
Structure 25: -510.669778816064 -510.52313232421875 -6.383372235200801 -6.381539154052734 80 0.14664649184527434
Structure 26: -510.483638217855 -510.3371276855469 -6.3810454777231875 -6.379214096069336 80 0.1465105323081275
